App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
Flipkart,Very helpful and easy to use.,Positive,0.997392,0.951458
YouTube,"It's okay, needs some improvements.",Neutral,0,0.10268
Netflix,"Amazing experience, highly recommended.",Positive,0.73701,0.305791
Swiggy,Very helpful and easy to use.,Positive,0.335893,0.594272
Flipkart,Very helpful and easy to use.,Positive,0.768204,0.546344
Duolingo,Works great especially for daily use.,Positive,0.599368,0.978697
Duolingo,Too many ads.,Negative,-0.187487,0.484251
Zomato,Very helpful and easy to use.,Positive,0.54862,0.331987
WhatsApp,Average experience overall.,Neutral,0,0.377837
Swiggy,"It's okay, needs some improvements.",Neutral,0,0.19446
10 Best Foods for You,Very helpful and easy to use.,Positive,0.330844,0.573706
Adobe Acrobat Reader,App crashes frequently.,Negative,-0.602632,0.992173
Netflix,Works great especially for daily use.,Positive,0.298923,0.274862
Zomato,Useful but has minor issues.,Neutral,0,0.511286
Spotify,Love the interface and performance.,Positive,0.998404,0.203301
YouTube,Excellent app with useful features.,Positive,0.396926,0.598489
Adobe Acrobat Reader,Excellent app with useful features.,Positive,0.515336,0.672271
Adobe Acrobat Reader,Excellent app with useful features.,Positive,0.568187,0.766165
Instagram,Not satisfied with the performance.,Negative,-0.407794,0.530599
10 Best Foods for You,Too many ads.,Negative,-0.147323,0.999875
Swiggy,Works great especially for daily use.,Positive,0.890623,0.841246
Duolingo,Excellent app with useful features.,Positive,0.637725,0.681833
Adobe Acrobat Reader,"Amazing experience, highly recommended.",Positive,0.271351,0.881877
Amazon Shopping,Works great especially for daily use.,Positive,0.296482,0.592676
Google Maps,Not satisfied with the performance.,Negative,-0.881842,0.765864
Zomato,"Amazing experience, highly recommended.",Positive,0.90833,0.581152
Spotify,"Amazing experience, highly recommended.",Positive,0.848795,0.691094
Google Maps,Love the interface and performance.,Positive,0.473396,0.57082
Canva,"Not bad, just decent.",Neutral,0,0.363639
Telegram,"Amazing experience, highly recommended.",Positive,0.263347,0.841236
Duolingo,Very helpful and easy to use.,Positive,0.87323,0.618474
Duolingo,Excellent app with useful features.,Positive,0.610732,0.608521
Google Maps,Useful but has minor issues.,Neutral,0,0.506412
Flipkart,Love the interface and performance.,Positive,0.213015,0.792413
Instagram,"Amazing experience, highly recommended.",Positive,0.236207,0.533001
WhatsApp,"Amazing experience, highly recommended.",Positive,0.805883,0.559958
YouTube,Very slow after the latest update.,Negative,-0.810038,0.354754
Spotify,"Not bad, just decent.",Neutral,0,0.367188
10 Best Foods for You,"Amazing experience, highly recommended.",Positive,0.56813,0.524073
Telegram,"Not bad, just decent.",Neutral,0,0.2514
Zomato,"Amazing experience, highly recommended.",Positive,0.843713,0.270108
Amazon Shopping,,,,
Adobe Acrobat Reader,Average experience overall.,Neutral,0,0.529506
Canva,Works great especially for daily use.,Positive,0.548631,0.700847
YouTube,"Amazing experience, highly recommended.",Positive,0.318533,0.537503
Adobe Acrobat Reader,"Amazing experience, highly recommended.",Positive,0.971093,0.577191
Zomato,Very helpful and easy to use.,Positive,0.655544,0.867071
10 Best Foods for You,"Amazing experience, highly recommended.",Positive,0.98359,0.878893
WhatsApp,Works fine but can be better.,Neutral,0,0.118509
Google Maps,Love the interface and performance.,Positive,0.948225,0.924059
Zomato,Useful but has minor issues.,Neutral,0,0.10951
Spotify,"Amazing experience, highly recommended.",Positive,0.911312,0.293553
Spotify,"Amazing experience, highly recommended.",Positive,0.216646,0.430409
Canva,Love the interface and performance.,Positive,0.375762,0.927256
Flipkart,Poor user experience.,Negative,-0.881957,0.505376
WhatsApp,Very helpful and easy to use.,Positive,0.836778,0.839804
Zomato,Excellent app with useful features.,Positive,0.733645,0.303277
Canva,"Amazing experience, highly recommended.",Positive,0.954444,0.59498
Canva,Excellent app with useful features.,Positive,0.487029,0.408646
Telegram,Useful but has minor issues.,Neutral,0,0.115985
Adobe Acrobat Reader,Works great especially for daily use.,Positive,0.29655,0.379277
Duolingo,"It's okay, needs some improvements.",Neutral,0,0.485047
Netflix,Love the interface and performance.,Positive,0.683432,0.283314
10 Best Foods for You,"Amazing experience, highly recommended.",Positive,0.970118,0.804611
Adobe Acrobat Reader,"It's okay, needs some improvements.",Neutral,0,0.511805
10 Best Foods for You,Excellent app with useful features.,Positive,0.896696,0.928789
Amazon Shopping,Useful but has minor issues.,Neutral,0,0.349196
Zomato,Works fine but can be better.,Neutral,0,0.50958
Adobe Acrobat Reader,"Amazing experience, highly recommended.",Positive,0.815375,0.20527
Zomato,Love the interface and performance.,Positive,0.337009,0.412813
WhatsApp,Works great especially for daily use.,Positive,0.321289,0.802806
Google Maps,"Amazing experience, highly recommended.",Positive,0.530728,0.527447
Instagram,Very helpful and easy to use.,Positive,0.954992,0.554063
YouTube,,,,
YouTube,Very helpful and easy to use.,Positive,0.451844,0.985556
Amazon Shopping,Excellent app with useful features.,Positive,0.728141,0.713173
Swiggy,Not satisfied with the performance.,Negative,-0.124605,0.593514
Swiggy,Very helpful and easy to use.,Positive,0.777241,0.450956
Flipkart,,,,
Duolingo,Average experience overall.,Neutral,0,0.450148
Instagram,Not satisfied with the performance.,Negative,-0.290493,0.756426
WhatsApp,"Not bad, just decent.",Neutral,0,0.4877
Swiggy,Very helpful and easy to use.,Positive,0.511995,0.775104
Swiggy,Too many ads.,Negative,-0.807639,0.65817
Duolingo,Average experience overall.,Neutral,0,0.111711
Swiggy,Works great especially for daily use.,Positive,0.865783,0.443154
Google Maps,Excellent app with useful features.,Positive,0.873267,0.407805
Netflix,Excellent app with useful features.,Positive,0.55899,0.657948
10 Best Foods for You,Not satisfied with the performance.,Negative,-0.490962,0.926037
Telegram,Average experience overall.,Neutral,0,0.275169
Duolingo,Useful but has minor issues.,Neutral,0,0.436217
WhatsApp,"It's okay, needs some improvements.",Neutral,0,0.263923
Spotify,"Not bad, just decent.",Neutral,0,0.148994
WhatsApp,Excellent app with useful features.,Positive,0.249755,0.910807
Instagram,Love the interface and performance.,Positive,0.522203,0.647175
YouTube,"Amazing experience, highly recommended.",Positive,0.709169,0.997209
WhatsApp,"Amazing experience, highly recommended.",Positive,0.859049,0.315477
Amazon Shopping,Love the interface and performance.,Positive,0.890617,0.294447
Canva,Works great especially for daily use.,Positive,0.955256,0.495466
Adobe Acrobat Reader,Excellent app with useful features.,Positive,0.495669,0.431672
Netflix,Very helpful and easy to use.,Positive,0.442608,0.58874
YouTube,"Not bad, just decent.",Neutral,0,0.124326
Swiggy,Works great especially for daily use.,Positive,0.8553,0.591035
Adobe Acrobat Reader,Excellent app with useful features.,Positive,0.53406,0.658447
Spotify,"Amazing experience, highly recommended.",Positive,0.580182,0.776027
Spotify,"Amazing experience, highly recommended.",Positive,0.809343,0.733777
Amazon Shopping,Love the interface and performance.,Positive,0.731602,0.527703
Canva,Excellent app with useful features.,Positive,0.966464,0.912035
WhatsApp,Works great especially for daily use.,Positive,0.765767,0.657596
YouTube,Excellent app with useful features.,Positive,0.715131,0.268122
Spotify,Useful but has minor issues.,Neutral,0,0.360877
YouTube,App crashes frequently.,Negative,-0.407571,0.672302
10 Best Foods for You,Love the interface and performance.,Positive,0.555384,0.845537
Spotify,"Amazing experience, highly recommended.",Positive,0.889579,0.218611
Google Maps,Love the interface and performance.,Positive,0.453906,0.405742
Adobe Acrobat Reader,Very helpful and easy to use.,Positive,0.315227,0.404444
Adobe Acrobat Reader,Very slow after the latest update.,Negative,-0.946978,0.972786
Amazon Shopping,,,,
10 Best Foods for You,Works great especially for daily use.,Positive,0.530258,0.459374
Google Maps,App crashes frequently.,Negative,-0.817696,0.826494
Spotify,Love the interface and performance.,Positive,0.508039,0.292065
10 Best Foods for You,Excellent app with useful features.,Positive,0.587337,0.525995
Canva,Love the interface and performance.,Positive,0.97078,0.740078
Canva,Average experience overall.,Neutral,0,0.252306
Google Maps,Useful but has minor issues.,Neutral,0,0.201728
Amazon Shopping,Very slow after the latest update.,Negative,-0.516218,0.596627
Swiggy,"Amazing experience, highly recommended.",Positive,0.968892,0.696584
Telegram,"Amazing experience, highly recommended.",Positive,0.418642,0.400711
Telegram,Works great especially for daily use.,Positive,0.668127,0.608263
10 Best Foods for You,Excellent app with useful features.,Positive,0.440511,0.516244
Adobe Acrobat Reader,Works fine but can be better.,Neutral,0,0.53914
Canva,Too many ads.,Negative,-0.204462,0.961786
Telegram,"Not bad, just decent.",Neutral,0,0.236507
Telegram,"Amazing experience, highly recommended.",Positive,0.967194,0.462766
Swiggy,"It's okay, needs some improvements.",Neutral,0,0.404393
10 Best Foods for You,"Not bad, just decent.",Neutral,0,0.377895
WhatsApp,Useful but has minor issues.,Neutral,0,0.140574
Swiggy,Excellent app with useful features.,Positive,0.914058,0.852845
Instagram,"Amazing experience, highly recommended.",Positive,0.861973,0.486373
Amazon Shopping,"It's okay, needs some improvements.",Neutral,0,0.162382
Flipkart,Works great especially for daily use.,Positive,0.794516,0.806737
Telegram,Excellent app with useful features.,Positive,0.853025,0.700189
YouTube,"Amazing experience, highly recommended.",Positive,0.973837,0.229437
Instagram,Average experience overall.,Neutral,0,0.103568
Zomato,Very helpful and easy to use.,Positive,0.655282,0.595209
Netflix,Useful but has minor issues.,Neutral,0,0.38257
Adobe Acrobat Reader,Average experience overall.,Neutral,0,0.229812
Spotify,Too many ads.,Negative,-0.827334,0.774585
WhatsApp,Useful but has minor issues.,Neutral,0,0.541551
10 Best Foods for You,"It's okay, needs some improvements.",Neutral,0,0.52693
Flipkart,Too many ads.,Negative,-0.890454,0.662807
Instagram,Average experience overall.,Neutral,0,0.123482
Swiggy,Excellent app with useful features.,Positive,0.513487,0.467765
Swiggy,Works great especially for daily use.,Positive,0.982476,0.539056
Adobe Acrobat Reader,Very helpful and easy to use.,Positive,0.448645,0.700796
Adobe Acrobat Reader,,,,
Google Maps,Very helpful and easy to use.,Positive,0.872406,0.397723
Instagram,Excellent app with useful features.,Positive,0.857307,0.61574
Canva,Useful but has minor issues.,Neutral,0,0.319265
Adobe Acrobat Reader,Excellent app with useful features.,Positive,0.97962,0.933372
Google Maps,"It's okay, needs some improvements.",Neutral,0,0.491323
10 Best Foods for You,Very helpful and easy to use.,Positive,0.688591,0.545471
Adobe Acrobat Reader,Very helpful and easy to use.,Positive,0.879943,0.521346
Spotify,Love the interface and performance.,Positive,0.82998,0.699207
Instagram,Useful but has minor issues.,Neutral,0,0.409615
Flipkart,"It's okay, needs some improvements.",Neutral,0,0.327038
Flipkart,Excellent app with useful features.,Positive,0.67614,0.254036
YouTube,Very slow after the latest update.,Negative,-0.426373,0.4794
Google Maps,Average experience overall.,Neutral,0,0.221576
YouTube,,,,
Amazon Shopping,Very helpful and easy to use.,Positive,0.448951,0.908178
YouTube,Love the interface and performance.,Positive,0.47432,0.495064
10 Best Foods for You,Average experience overall.,Neutral,0,0.128659
Netflix,Excellent app with useful features.,Positive,0.537649,0.356326
Canva,Excellent app with useful features.,Positive,0.473242,0.734288
WhatsApp,Very helpful and easy to use.,Positive,0.881607,0.652878
Flipkart,Works great especially for daily use.,Positive,0.283878,0.900884
Swiggy,,,,
Canva,Average experience overall.,Neutral,0,0.333268
Canva,Works fine but can be better.,Neutral,0,0.503636
Google Maps,Excellent app with useful features.,Positive,0.490254,0.258985
10 Best Foods for You,"Amazing experience, highly recommended.",Positive,0.355523,0.668549
YouTube,Very slow after the latest update.,Negative,-0.821958,0.421903
Swiggy,Love the interface and performance.,Positive,0.396771,0.35679
Amazon Shopping,App crashes frequently.,Negative,-0.251699,0.39607
Telegram,Works great especially for daily use.,Positive,0.444058,0.39212
YouTube,Love the interface and performance.,Positive,0.981681,0.998156
Swiggy,"It's okay, needs some improvements.",Neutral,0,0.172216
Swiggy,Love the interface and performance.,Positive,0.502556,0.499404
Spotify,"It's okay, needs some improvements.",Neutral,0,0.481541
Spotify,Works great especially for daily use.,Positive,0.462144,0.242607
YouTube,Love the interface and performance.,Positive,0.974707,0.908667
Canva,Useful but has minor issues.,Neutral,0,0.132437
Netflix,Not satisfied with the performance.,Negative,-0.663161,0.663225
Amazon Shopping,"Amazing experience, highly recommended.",Positive,0.77252,0.595834
Duolingo,Useful but has minor issues.,Neutral,0,0.424869
Canva,Works great especially for daily use.,Positive,0.51672,0.444799
Swiggy,Very helpful and easy to use.,Positive,0.403623,0.267807
YouTube,Very helpful and easy to use.,Positive,0.384142,0.232914
Netflix,"Amazing experience, highly recommended.",Positive,0.546005,0.49401
Instagram,Works great especially for daily use.,Positive,0.553351,0.4125
Adobe Acrobat Reader,Love the interface and performance.,Positive,0.610233,0.714924
YouTube,Excellent app with useful features.,Positive,0.257079,0.230625
Canva,Works fine but can be better.,Neutral,0,0.251358
Zomato,Average experience overall.,Neutral,0,0.452821
Amazon Shopping,Useful but has minor issues.,Neutral,0,0.556191
10 Best Foods for You,Very helpful and easy to use.,Positive,0.826503,0.523049
Google Maps,"It's okay, needs some improvements.",Neutral,0,0.336002
Netflix,Poor user experience.,Negative,-0.795179,0.806335
Canva,Love the interface and performance.,Positive,0.806097,0.778008
Instagram,Works great especially for daily use.,Positive,0.543034,0.953544
Google Maps,Love the interface and performance.,Positive,0.224083,0.31116
Zomato,App crashes frequently.,Negative,-0.55018,0.761194
Flipkart,"Amazing experience, highly recommended.",Positive,0.810273,0.752415
Duolingo,Excellent app with useful features.,Positive,0.937715,0.322953
Flipkart,Useful but has minor issues.,Neutral,0,0.386939
Google Maps,"Amazing experience, highly recommended.",Positive,0.250967,0.509147
Instagram,"Amazing experience, highly recommended.",Positive,0.711203,0.443716
Amazon Shopping,Excellent app with useful features.,Positive,0.86118,0.682691
10 Best Foods for You,"Amazing experience, highly recommended.",Positive,0.427054,0.386432
Telegram,Very helpful and easy to use.,Positive,0.614825,0.337461
Zomato,Excellent app with useful features.,Positive,0.30331,0.534731
WhatsApp,Very slow after the latest update.,Negative,-0.883061,0.443974
Google Maps,Average experience overall.,Neutral,0,0.401855
Duolingo,"Amazing experience, highly recommended.",Positive,0.420353,0.205955
Amazon Shopping,Useful but has minor issues.,Neutral,0,0.503783
Netflix,"Amazing experience, highly recommended.",Positive,0.568164,0.660906
WhatsApp,"Not bad, just decent.",Neutral,0,0.273391
Zomato,Love the interface and performance.,Positive,0.858744,0.879875
Google Maps,Poor user experience.,Negative,-0.587955,0.937583
Amazon Shopping,Excellent app with useful features.,Positive,0.391756,0.896432
Duolingo,Excellent app with useful features.,Positive,0.758435,0.777928
Canva,Love the interface and performance.,Positive,0.296984,0.494986
YouTube,Works fine but can be better.,Neutral,0,0.305048
Amazon Shopping,"Amazing experience, highly recommended.",Positive,0.221374,0.711093
Telegram,"Amazing experience, highly recommended.",Positive,0.884619,0.517339
10 Best Foods for You,Average experience overall.,Neutral,0,0.263555
WhatsApp,Excellent app with useful features.,Positive,0.638743,0.393835
Instagram,Average experience overall.,Neutral,0,0.185295
10 Best Foods for You,Excellent app with useful features.,Positive,0.627723,0.51268
Adobe Acrobat Reader,Very helpful and easy to use.,Positive,0.322797,0.48647
Canva,Not satisfied with the performance.,Negative,-0.80545,0.78772
Zomato,Excellent app with useful features.,Positive,0.512495,0.446659
10 Best Foods for You,"Amazing experience, highly recommended.",Positive,0.813691,0.943056
Flipkart,Excellent app with useful features.,Positive,0.537346,0.991432
Flipkart,"It's okay, needs some improvements.",Neutral,0,0.210284
Swiggy,Average experience overall.,Neutral,0,0.462006
10 Best Foods for You,Very helpful and easy to use.,Positive,0.458144,0.701429
Spotify,"Amazing experience, highly recommended.",Positive,0.296643,0.371024
Flipkart,Very helpful and easy to use.,Positive,0.209585,0.370214
Canva,Useful but has minor issues.,Neutral,0,0.28449
Adobe Acrobat Reader,Love the interface and performance.,Positive,0.599661,0.992379
WhatsApp,Not satisfied with the performance.,Negative,-0.845687,0.971324
Spotify,"Not bad, just decent.",Neutral,0,0.43895
YouTube,Very helpful and easy to use.,Positive,0.982417,0.733096
Adobe Acrobat Reader,Useful but has minor issues.,Neutral,0,0.324456
Netflix,Love the interface and performance.,Positive,0.763703,0.210633
10 Best Foods for You,Too many ads.,Negative,-0.787243,0.599949
Canva,Very helpful and easy to use.,Positive,0.598981,0.361609
Google Maps,Love the interface and performance.,Positive,0.990841,0.554981
Swiggy,Excellent app with useful features.,Positive,0.616698,0.982054
Telegram,Average experience overall.,Neutral,0,0.523467
Flipkart,Excellent app with useful features.,Positive,0.925306,0.732005
Canva,Average experience overall.,Neutral,0,0.404032
Google Maps,Excellent app with useful features.,Positive,0.251694,0.593314
Canva,Very slow after the latest update.,Negative,-0.886995,0.421573
Netflix,Very slow after the latest update.,Negative,-0.543318,0.598368
Instagram,Average experience overall.,Neutral,0,0.312008
Spotify,"Amazing experience, highly recommended.",Positive,0.974181,0.361121
Zomato,Very helpful and easy to use.,Positive,0.518596,0.334213
Instagram,"Not bad, just decent.",Neutral,0,0.480162
Zomato,"Amazing experience, highly recommended.",Positive,0.541918,0.266586
Swiggy,Works great especially for daily use.,Positive,0.642282,0.340559
Google Maps,"Amazing experience, highly recommended.",Positive,0.649714,0.584675
Flipkart,Works great especially for daily use.,Positive,0.932906,0.203344
Zomato,"Not bad, just decent.",Neutral,0,0.302278
Google Maps,Too many ads.,Negative,-0.654366,0.515468
Spotify,App crashes frequently.,Negative,-0.653657,0.695926
Canva,Too many ads.,Negative,-0.541352,0.642035
WhatsApp,"Amazing experience, highly recommended.",Positive,0.941215,0.788531
Canva,Too many ads.,Negative,-0.432143,0.773498
WhatsApp,Love the interface and performance.,Positive,0.564377,0.744853
Duolingo,Works great especially for daily use.,Positive,0.20987,0.816778
Telegram,Love the interface and performance.,Positive,0.979316,0.264279
Swiggy,"Amazing experience, highly recommended.",Positive,0.402297,0.441776
Netflix,Very helpful and easy to use.,Positive,0.787147,0.80197
Swiggy,Love the interface and performance.,Positive,0.821353,0.475514
Amazon Shopping,"Amazing experience, highly recommended.",Positive,0.759207,0.205136
Amazon Shopping,Excellent app with useful features.,Positive,0.818995,0.534272
Google Maps,Average experience overall.,Neutral,0,0.188201
Amazon Shopping,Works great especially for daily use.,Positive,0.602091,0.288191
Spotify,Excellent app with useful features.,Positive,0.799933,0.847343
Canva,Poor user experience.,Negative,-0.603343,0.93908
Adobe Acrobat Reader,Very helpful and easy to use.,Positive,0.268566,0.299745
Adobe Acrobat Reader,"Amazing experience, highly recommended.",Positive,0.588155,0.808427
10 Best Foods for You,"It's okay, needs some improvements.",Neutral,0,0.432661
YouTube,Love the interface and performance.,Positive,0.833429,0.500533
Netflix,"Not bad, just decent.",Neutral,0,0.336616
Flipkart,Very helpful and easy to use.,Positive,0.999556,0.853478
Flipkart,Excellent app with useful features.,Positive,0.980244,0.898462
YouTube,"Amazing experience, highly recommended.",Positive,0.780176,0.910376
Amazon Shopping,,,,
Adobe Acrobat Reader,Works great especially for daily use.,Positive,0.494744,0.694681
Telegram,Works great especially for daily use.,Positive,0.202503,0.710459
Zomato,"It's okay, needs some improvements.",Neutral,0,0.584799
WhatsApp,Love the interface and performance.,Positive,0.587629,0.791364
YouTube,"Amazing experience, highly recommended.",Positive,0.989497,0.88568
Swiggy,Love the interface and performance.,Positive,0.356062,0.314529
Netflix,Useful but has minor issues.,Neutral,0,0.115873
Instagram,Love the interface and performance.,Positive,0.989776,0.573442
Swiggy,Love the interface and performance.,Positive,0.392721,0.369313
YouTube,"It's okay, needs some improvements.",Neutral,0,0.317447
WhatsApp,,,,
Swiggy,Too many ads.,Negative,-0.801662,0.48034
Instagram,Average experience overall.,Neutral,0,0.561368
Telegram,Very helpful and easy to use.,Positive,0.897552,0.945424
YouTube,Very helpful and easy to use.,Positive,0.501608,0.773954
WhatsApp,Useful but has minor issues.,Neutral,0,0.583124
Google Maps,Excellent app with useful features.,Positive,0.432781,0.289106
Flipkart,App crashes frequently.,Negative,-0.484445,0.389192
Flipkart,Excellent app with useful features.,Positive,0.448639,0.672048
Canva,Too many ads.,Negative,-0.305847,0.858263
Swiggy,Love the interface and performance.,Positive,0.672621,0.285269
10 Best Foods for You,Works great especially for daily use.,Positive,0.852918,0.437459
Canva,Love the interface and performance.,Positive,0.426714,0.797648
Zomato,Useful but has minor issues.,Neutral,0,0.26007
Netflix,Love the interface and performance.,Positive,0.582626,0.86295
Instagram,App crashes frequently.,Negative,-0.116971,0.533201
Zomato,Average experience overall.,Neutral,0,0.450204
10 Best Foods for You,"Not bad, just decent.",Neutral,0,0.463698
Duolingo,Average experience overall.,Neutral,0,0.595532
Netflix,"Amazing experience, highly recommended.",Positive,0.992251,0.806171
Google Maps,Works fine but can be better.,Neutral,0,0.448188
Canva,Excellent app with useful features.,Positive,0.304721,0.801813
Spotify,Very helpful and easy to use.,Positive,0.566026,0.330956
Amazon Shopping,Works great especially for daily use.,Positive,0.367813,0.843487
Canva,Love the interface and performance.,Positive,0.281558,0.828399
Zomato,Poor user experience.,Negative,-0.388499,0.417756
10 Best Foods for You,Very slow after the latest update.,Negative,-0.149443,0.382143
Netflix,Works great especially for daily use.,Positive,0.701578,0.523195
10 Best Foods for You,Very helpful and easy to use.,Positive,0.750387,0.963644
Telegram,"It's okay, needs some improvements.",Neutral,0,0.488865
Zomato,"Amazing experience, highly recommended.",Positive,0.493858,0.296
Adobe Acrobat Reader,Useful but has minor issues.,Neutral,0,0.212468
Spotify,Very helpful and easy to use.,Positive,0.754981,0.275643
Spotify,"Amazing experience, highly recommended.",Positive,0.438691,0.300189
Flipkart,Not satisfied with the performance.,Negative,-0.833599,0.869008
10 Best Foods for You,Useful but has minor issues.,Neutral,0,0.344282
Netflix,Excellent app with useful features.,Positive,0.802807,0.365971
Telegram,Love the interface and performance.,Positive,0.756173,0.204259
Instagram,Works great especially for daily use.,Positive,0.660065,0.722112
Adobe Acrobat Reader,App crashes frequently.,Negative,-0.923851,0.387302
Duolingo,"Amazing experience, highly recommended.",Positive,0.981682,0.726527
Canva,Not satisfied with the performance.,Negative,-0.185842,0.505378
Netflix,Very helpful and easy to use.,Positive,0.618133,0.988816
Flipkart,Excellent app with useful features.,Positive,0.730094,0.235788
10 Best Foods for You,Works great especially for daily use.,Positive,0.965938,0.681716
Canva,Love the interface and performance.,Positive,0.537612,0.639879
Duolingo,Poor user experience.,Negative,-0.589539,0.961318
Telegram,Useful but has minor issues.,Neutral,0,0.201881
Telegram,Very slow after the latest update.,Negative,-0.357,0.69455
Telegram,"Not bad, just decent.",Neutral,0,0.510784
Flipkart,Excellent app with useful features.,Positive,0.971214,0.397998
Duolingo,Love the interface and performance.,Positive,0.525425,0.463486
Adobe Acrobat Reader,Very helpful and easy to use.,Positive,0.317064,0.838478
Duolingo,,,,
Google Maps,Excellent app with useful features.,Positive,0.826187,0.298803
Netflix,"Amazing experience, highly recommended.",Positive,0.276432,0.47912
Spotify,Love the interface and performance.,Positive,0.279253,0.238371
Flipkart,Very helpful and easy to use.,Positive,0.844868,0.74225
YouTube,"Amazing experience, highly recommended.",Positive,0.581489,0.302058
10 Best Foods for You,Average experience overall.,Neutral,0,0.171335
Spotify,Very helpful and easy to use.,Positive,0.766002,0.399289
Spotify,"Amazing experience, highly recommended.",Positive,0.988997,0.838775
Netflix,Not satisfied with the performance.,Negative,-0.152491,0.916971
Zomato,"It's okay, needs some improvements.",Neutral,0,0.573727
Google Maps,"It's okay, needs some improvements.",Neutral,0,0.138347
Canva,Excellent app with useful features.,Positive,0.267668,0.428681
Swiggy,Poor user experience.,Negative,-0.39067,0.952709
Amazon Shopping,Love the interface and performance.,Positive,0.758306,0.524377
Spotify,"It's okay, needs some improvements.",Neutral,0,0.45708
WhatsApp,Love the interface and performance.,Positive,0.747262,0.233885
Instagram,Useful but has minor issues.,Neutral,0,0.551899
Amazon Shopping,Useful but has minor issues.,Neutral,0,0.276646
10 Best Foods for You,Very helpful and easy to use.,Positive,0.975783,0.470367
Telegram,Excellent app with useful features.,Positive,0.432052,0.5865
Duolingo,Useful but has minor issues.,Neutral,0,0.296811
Swiggy,Not satisfied with the performance.,Negative,-0.256845,0.3248
Instagram,"It's okay, needs some improvements.",Neutral,0,0.277872
Spotify,Excellent app with useful features.,Positive,0.204124,0.912157
Amazon Shopping,"Amazing experience, highly recommended.",Positive,0.593637,0.267795
Netflix,"Amazing experience, highly recommended.",Positive,0.205528,0.815558
Duolingo,Very helpful and easy to use.,Positive,0.491597,0.913755
Netflix,"Amazing experience, highly recommended.",Positive,0.725024,0.551485
Amazon Shopping,Very helpful and easy to use.,Positive,0.906861,0.767376
Adobe Acrobat Reader,"Amazing experience, highly recommended.",Positive,0.536845,0.464971
10 Best Foods for You,"Amazing experience, highly recommended.",Positive,0.967759,0.986343
Adobe Acrobat Reader,Works great especially for daily use.,Positive,0.45991,0.811514
Swiggy,"Not bad, just decent.",Neutral,0,0.165709
Adobe Acrobat Reader,Very helpful and easy to use.,Positive,0.600001,0.813908
Canva,"Not bad, just decent.",Neutral,0,0.588219
WhatsApp,,,,
Instagram,"Amazing experience, highly recommended.",Positive,0.398198,0.321997
Netflix,Excellent app with useful features.,Positive,0.891333,0.995406
Canva,"Amazing experience, highly recommended.",Positive,0.765169,0.847962
WhatsApp,Average experience overall.,Neutral,0,0.596276
Spotify,Excellent app with useful features.,Positive,0.305837,0.230693
Canva,Love the interface and performance.,Positive,0.359715,0.89148
Google Maps,Works great especially for daily use.,Positive,0.37742,0.540861
10 Best Foods for You,Works fine but can be better.,Neutral,0,0.155027
Flipkart,"Amazing experience, highly recommended.",Positive,0.397575,0.916085
Amazon Shopping,,,,
10 Best Foods for You,Very helpful and easy to use.,Positive,0.577647,0.926786
Adobe Acrobat Reader,"Amazing experience, highly recommended.",Positive,0.490865,0.443485
Adobe Acrobat Reader,Average experience overall.,Neutral,0,0.265606
WhatsApp,Useful but has minor issues.,Neutral,0,0.364431
Flipkart,Love the interface and performance.,Positive,0.507239,0.909755
Amazon Shopping,"It's okay, needs some improvements.",Neutral,0,0.393281
Swiggy,Average experience overall.,Neutral,0,0.45233
Swiggy,Not satisfied with the performance.,Negative,-0.691392,0.807745
YouTube,"It's okay, needs some improvements.",Neutral,0,0.163916
Google Maps,Love the interface and performance.,Positive,0.980101,0.91593
Instagram,"Amazing experience, highly recommended.",Positive,0.254167,0.535203
Swiggy,Average experience overall.,Neutral,0,0.399577
WhatsApp,Love the interface and performance.,Positive,0.248635,0.977979
Canva,Love the interface and performance.,Positive,0.896205,0.977231
Amazon Shopping,Love the interface and performance.,Positive,0.823498,0.520679
Duolingo,Love the interface and performance.,Positive,0.374246,0.757377
Swiggy,Love the interface and performance.,Positive,0.766203,0.620059
Duolingo,Very helpful and easy to use.,Positive,0.641721,0.336887
10 Best Foods for You,Works great especially for daily use.,Positive,0.953637,0.422205
Amazon Shopping,Average experience overall.,Neutral,0,0.594768
Canva,Very helpful and easy to use.,Positive,0.706146,0.977775
Flipkart,Useful but has minor issues.,Neutral,0,0.232019
Amazon Shopping,Works fine but can be better.,Neutral,0,0.592631
Telegram,Average experience overall.,Neutral,0,0.465238
Duolingo,Not satisfied with the performance.,Negative,-0.408414,0.907587
YouTube,"Not bad, just decent.",Neutral,0,0.572828
Duolingo,Useful but has minor issues.,Neutral,0,0.20308
Instagram,Love the interface and performance.,Positive,0.703841,0.886577
Google Maps,"Amazing experience, highly recommended.",Positive,0.494912,0.921735
Adobe Acrobat Reader,Works great especially for daily use.,Positive,0.351088,0.592415
WhatsApp,Very helpful and easy to use.,Positive,0.330335,0.342187
Google Maps,Works great especially for daily use.,Positive,0.257639,0.396203
Swiggy,Love the interface and performance.,Positive,0.309833,0.800355
10 Best Foods for You,Excellent app with useful features.,Positive,0.288028,0.210842
Zomato,Works great especially for daily use.,Positive,0.816094,0.414125
Telegram,"It's okay, needs some improvements.",Neutral,0,0.578809
Adobe Acrobat Reader,"It's okay, needs some improvements.",Neutral,0,0.201161
